[GNSSFGOBridge] Using gnssfgo JSONL mode: /home/nvidia/Work/gnssfgo_ml_ws/osqa_input.jsonl -> /home/nvidia/Work/gnssfgo_ml_ws/osqa_output.jsonl
[GNSSFGODataReader] Started. Input: /home/nvidia/Work/gnssfgo_ml_ws/osqa_input.jsonl, Output: /home/nvidia/Work/gnssfgo_ml_ws/osqa_output.jsonl
[GNSSFGODataProvider] Polling /home/nvidia/Work/gnssfgo_ml_ws/osqa_input.jsonl for new epochs...
[OSQA] Started. Config: window=50, fusion=weighted, threshold=0.2
[OSQA Visualizer] updating epoch 1465021214.00, sats=26, mean_q=0.760
[OSQA Visualizer] updating epoch 1465021215.00, sats=27, mean_q=0.723
[OSQA Visualizer] updating epoch 1465021216.00, sats=27, mean_q=0.804
[OSQA Visualizer] updating epoch 1465021217.00, sats=27, mean_q=0.791
[OSQA Visualizer] updating epoch 1465021218.00, sats=27, mean_q=0.775
[OSQA Visualizer] updating epoch 1465021219.00, sats=27, mean_q=0.782
[OSQA Visualizer] updating epoch 1465021220.00, sats=27, mean_q=0.771
[OSQA Visualizer] updating epoch 1465021221.00, sats=27, mean_q=0.752
[OSQA Visualizer] updating epoch 1465021222.00, sats=27, mean_q=0.766
[OSQA Visualizer] updating epoch 1465021223.00, sats=27, mean_q=0.755
[OSQA Visualizer] updating epoch 1465021224.00, sats=27, mean_q=0.764
[OSQA Visualizer] updating epoch 1465021225.00, sats=27, mean_q=0.775
[OSQA Visualizer] updating epoch 1465021226.00, sats=27, mean_q=0.754
[OSQA Visualizer] updating epoch 1465021227.00, sats=27, mean_q=0.795
[OSQA Visualizer] updating epoch 1465021228.00, sats=26, mean_q=0.783
[OSQA Visualizer] updating epoch 1465021229.00, sats=27, mean_q=0.563
[OSQA Visualizer] updating epoch 1465021230.00, sats=27, mean_q=0.692
[OSQA Visualizer] updating epoch 1465021231.00, sats=28, mean_q=0.746
[OSQA Visualizer] updating epoch 1465021232.00, sats=28, mean_q=0.739
[OSQA Visualizer] updating epoch 1465021233.00, sats=28, mean_q=0.743
[OSQA Visualizer] updating epoch 1465021234.00, sats=28, mean_q=0.788
[OSQA Visualizer] updating epoch 1465021235.00, sats=29, mean_q=0.676
[OSQA Visualizer] updating epoch 1465021236.00, sats=28, mean_q=0.741
[OSQA Visualizer] updating epoch 1465021237.00, sats=28, mean_q=0.690
[OSQA Visualizer] updating epoch 1465021238.00, sats=28, mean_q=0.772
[OSQA Visualizer] updating epoch 1465021239.00, sats=27, mean_q=0.771
[OSQA Visualizer] updating epoch 1465021240.00, sats=27, mean_q=0.694
[OSQA Visualizer] updating epoch 1465021241.00, sats=27, mean_q=0.721
[OSQA Visualizer] updating epoch 1465021242.00, sats=27, mean_q=0.776
[OSQA Visualizer] updating epoch 1465021243.00, sats=28, mean_q=0.049
[OSQA Visualizer] updating epoch 1465021244.00, sats=28, mean_q=0.705
[OSQA Visualizer] updating epoch 1465021245.00, sats=27, mean_q=0.782
[OSQA Visualizer] updating epoch 1465021246.00, sats=28, mean_q=0.711
[OSQA Visualizer] updating epoch 1465021247.00, sats=27, mean_q=0.735
[OSQA Visualizer] updating epoch 1465021248.00, sats=27, mean_q=0.719
[OSQA Visualizer] updating epoch 1465021249.00, sats=27, mean_q=0.726
[OSQA Visualizer] updating epoch 1465021250.00, sats=28, mean_q=0.664
[OSQA Visualizer] updating epoch 1465021251.00, sats=28, mean_q=0.698
[OSQA Visualizer] updating epoch 1465021252.00, sats=28, mean_q=0.718
[OSQA Visualizer] updating epoch 1465021253.00, sats=28, mean_q=0.690
[OSQA Visualizer] updating epoch 1465021254.00, sats=28, mean_q=0.688
[OSQA Visualizer] updating epoch 1465021255.00, sats=28, mean_q=0.691
[OSQA Visualizer] updating epoch 1465021256.00, sats=28, mean_q=0.666
[OSQA Visualizer] updating epoch 1465021257.00, sats=28, mean_q=0.695
[OSQA Visualizer] updating epoch 1465021258.00, sats=28, mean_q=0.655
[OSQA Visualizer] updating epoch 1465021259.00, sats=28, mean_q=0.616
[OSQA Visualizer] updating epoch 1465021260.00, sats=28, mean_q=0.620
[OSQA Visualizer] updating epoch 1465021261.00, sats=28, mean_q=0.616
[OSQA Visualizer] updating epoch 1465021262.00, sats=27, mean_q=0.652
[OSQA Visualizer] updating epoch 1465021263.00, sats=28, mean_q=0.568
[OSQA Visualizer] updating epoch 1465021264.00, sats=28, mean_q=0.567
[OSQA Visualizer] updating epoch 1465021265.00, sats=28, mean_q=0.602
[OSQA Visualizer] updating epoch 1465021266.00, sats=28, mean_q=0.619
[OSQA Visualizer] updating epoch 1465021267.00, sats=28, mean_q=0.638
[OSQA Visualizer] updating epoch 1465021268.00, sats=29, mean_q=0.635
[OSQA Visualizer] updating epoch 1465021269.00, sats=29, mean_q=0.707
[OSQA Visualizer] updating epoch 1465021270.00, sats=30, mean_q=0.669
[OSQA Visualizer] updating epoch 1465021271.00, sats=29, mean_q=0.698
[OSQA Visualizer] updating epoch 1465021272.00, sats=30, mean_q=0.694
[OSQA Visualizer] updating epoch 1465021273.00, sats=29, mean_q=0.610
[OSQA Visualizer] updating epoch 1465021274.00, sats=29, mean_q=0.701
[OSQA Visualizer] updating epoch 1465021275.00, sats=29, mean_q=0.668
[OSQA Visualizer] updating epoch 1465021276.00, sats=29, mean_q=0.663
[OSQA Visualizer] updating epoch 1465021277.00, sats=28, mean_q=0.695
[OSQA Visualizer] updating epoch 1465021278.00, sats=27, mean_q=0.751
[OSQA Visualizer] updating epoch 1465021279.00, sats=28, mean_q=0.755
