timestamp,latitude,longitude,altitude,enu_x,enu_y,enu_z,cov_xx,cov_yy,cov_zz,trddcp_factor_count,opt_time
14650210210.039999,31.403138,121.263541,19.985498,-75.032808,-13.483514,2.944043,6.000000,6.000000,6.000000,0,10.298728
14650210220.039999,31.403135,121.263531,20.561716,-76.012993,-13.812679,3.520248,6.000000,6.000000,6.000000,0,7.253630
14650210230.039999,31.403133,121.263519,20.664543,-77.209667,-14.071064,3.623060,6.000000,6.000000,6.000000,0,15.427071
14650210240.039999,31.403131,121.263508,20.073193,-78.257324,-14.265816,3.031698,6.000000,6.000000,6.000000,0,18.795858
14650210250.039999,31.403126,121.263494,20.502789,-79.581778,-14.809195,3.461276,6.000000,6.000000,6.000000,0,12.926328
14650210260.039999,31.403126,121.263482,20.029935,-80.663622,-14.784872,2.988408,6.000000,6.000000,6.000000,0,7.800270
14650210270.039999,31.403125,121.263470,19.317651,-81.859160,-14.951534,2.276108,6.000000,6.000000,6.000000,0,15.341352
14650210280.039999,31.403123,121.263462,19.856150,-82.618605,-15.143539,2.814598,6.000000,6.000000,6.000000,0,9.038246
14650210290.039999,31.403117,121.263449,20.542342,-83.779134,-15.795533,3.500773,6.000000,6.000000,6.000000,0,7.020017
14650210300.039999,31.403113,121.263440,20.469908,-84.649012,-16.300564,3.428326,6.000000,6.000000,6.000000,0,19.916073
14650210310.039999,31.403109,121.263429,20.971397,-85.765141,-16.693860,3.929799,6.000000,6.000000,6.000000,0,11.147205
14650210320.039999,31.403108,121.263417,20.197515,-86.872895,-16.837081,3.155902,6.000000,6.000000,6.000000,0,6.937940
14650210330.039999,31.403106,121.263408,19.918258,-87.748431,-17.068458,2.876632,6.000000,6.000000,6.000000,0,6.943291
14650210340.039999,31.403106,121.263397,20.258661,-88.809740,-16.996867,3.217021,6.000000,6.000000,6.000000,0,17.422115
14650210350.039999,31.403103,121.263385,21.022538,-89.878924,-17.317489,3.980882,6.000000,6.000000,6.000000,0,8.920231
14650209570.039999,31.403425,121.264183,88.158956,-13.972921,18.314712,71.112914,0.000000,0.000000,0.000000,0,96.399912
